id,long(cm),short(cm)
960,12.356920388168039,9.038852685723498
961,9.198582981093018,7.884953492853729
962,9.8540536234799,8.390424305838042
1096,12.178807484662196,11.345343918400811
1097,12.714392951625845,11.752785184800043
1098,10.205863869791006,8.194653354183403
963,12.476789737859056,11.822646970940315
964,8.927064042352916,7.897580495361965
965,12.67769501848883,12.485441558259955
1099,10.536030689543715,9.14692828371056
1100,9.389273011665308,8.523607825883982
1101,9.768060125482018,8.996948991367237
966,8.108075626487201,6.871009450386814
967,12.485441554205917,12.055993351609157
968,12.67769501848883,10.202790911999864
1102,11.209398934034812,10.809213612481248
1103,9.880176086063146,9.770270831690663
1104,13.339994675207006,12.150384685303386
969,11.000441418283458,9.957034913874933
970,11.031457762144683,10.461822264534803
971,7.943291960411364,7.089049421510397
1105,13.334657575824425,12.994003950533509
1106,11.816554933985078,11.138056784498968
1107,12.346811853795755,11.13677852595462
972,8.85831461217787,8.58176671811976
973,12.583731750501748,10.168313658427449
974,10.215100638285687,9.371118402235005
975,11.92881900540411,11.369394093433115
976,12.597933707504117,11.390345063048624
977,11.762771813260358,10.771761141822767
1113,12.70444889977083,11.764719229849984
978,10.112307544258787,9.044722823572863
979,9.665131273946818,9.430667342412038
980,10.411257823127693,10.35536163408128
1114,12.83000281108946,11.529804528013294
1233,11.869961829094045,10.590230904624645
1235,12.975560313880683,11.228850258202483
1236,9.621589026347198,8.705334971253889
1372,13.365695301639521,12.729470204401602
1373,10.110274407219844,9.9900119830384
1374,12.549780703669311,10.11684081590145
1371,9.004075312044703,8.984987641710545
1237,9.37767370243109,9.180313440716933
1238,11.389354482354236,10.966114015564491
1375,13.33375927755594,12.116499912401165
1376,10.945219515791317,10.55482600420013
1377,13.685358201004663,13.490214075719214
1240,6.643949630667886,5.483057008573983
1241,12.525244316538064,11.140423065723995
1242,10.660819490093276,10.254727015546713
1378,11.068456623263492,10.457810627303267
1379,7.666025101208867,7.441134497962717
1380,7.6955397154116785,6.32021211149082
1243,5.455755562011818,4.467461839900637
1244,11.896691682611738,11.87787581778219
1381,9.48961762317658,8.905992318846529
1382,10.468912503539688,9.489617651159959
1251,15.026746636472776,13.460030354504118
1388,12.614085331463281,12.059008410440116
1389,13.280492472456626,10.424303560185127
1390,12.100857010011891,11.700652605185924
1253,12.97140065117332,12.75929295868831
1391,8.844586474197204,8.677988685875247
1508,12.67153616282862,12.408008214593474
1509,11.608501876999759,10.603080137271338
1510,12.924312347888995,12.158803299083074
1511,10.603080142611072,9.773421625574628
1646,12.94851269841725,12.924312328434691
1647,11.35400484467468,10.827079317095219
1648,11.354004844498299,10.026406056434691
1649,13.49314619132483,12.422017487093752
1512,10.827079326475786,9.235418939806522
1513,11.605504971673264,11.369312938043318
1514,9.52832630156355,9.499075810574038
1515,11.869266459386688,11.605504989375804
1650,10.814220543920685,9.499075778823753
1651,7.177101944379767,6.899126993508572
1652,9.572344293815432,9.569756855446611
1516,10.498355229347093,9.788801732549365
1517,10.721068534158906,9.79989382284754
1518,12.587760008705187,11.42264659625997
1653,11.895538421988144,11.888686806561164
1654,11.458257163237864,10.257583253320986
1655,10.954135234561292,10.257583243993924
1656,12.83772382612912,11.422646640359986
1519,11.662654292419774,10.956614363688066
1520,10.024578121008583,9.092589107250708
1521,10.785333621945686,10.607638883744094
1522,7.641756902693873,6.173799833404092
1657,11.498901642625468,11.49890161530671
1658,11.500734830467877,11.105324833833
1659,9.5011607227231,8.62662033249387
1523,12.52496728533045,12.226532047219173
1525,9.915264134426447,9.22388945347678
1660,11.989527224513866,10.834684770276903
1661,11.528565448796922,10.834684798446181
1662,9.975796417588079,9.782712757343496
1526,10.861535591934807,10.633095962644123
1527,10.884994661553735,10.104179017310333
1528,11.122597722508072,11.113994458036228
1663,12.901066644209108,10.858599619258317
1664,10.861535592982348,9.374108458587086
1665,12.628803670970779,12.123857693038614
1666,10.356627625705816,10.113641325062165
1786,10.940811297652742,10.94081128500453
1787,11.63885440637191,11.180759144498095
1918,10.708134561486204,10.018232351963881
1919,11.403796820284112,11.192863476509414
1920,5.836852423334304,5.357859550606293
1921,11.673704825984546,9.312130542959387
2056,10.240144075096994,9.553298380832171
2057,11.171066234295644,10.496121862709353
2058,10.472874608579403,9.553298379676411
2059,11.63885440637191,11.173490264029612
1788,12.10198844027329,11.425150014768217
1789,10.728348147177478,10.282371639974016
1790,9.785759093228364,9.309221914717963
1922,10.977877939362466,8.892621730950543
1923,11.889775205659376,11.64583285454007
1924,9.07649133080934,8.148893194828204
2060,10.746003803986854,9.774682948718674
2061,11.403796796304427,11.17106627989426
2062,9.309221869119346,8.856001286941286
1791,11.63652731389497,9.544790164798552
1792,11.87838107551625,10.768661442986522
1794,11.72001086243306,11.425149983392096
1925,13.57040621318303,12.808640205366844
1926,6.98579417143317,6.520609884698962
1927,11.871539332955273,11.173490268084262
2063,10.93833570157497,9.77745317769604
2064,12.343498146042279,10.940811279331172
2065,10.70560515469632,9.544790176198207
2066,12.569604259687098,12.334718978302387
1795,9.079474565261686,8.623601109892856
1796,12.216572453860412,8.931469257041513
1797,11.346553065249001,11.112011913833069
1798,10.02304039005714,9.369683385845352
1929,10.458623190070313,10.023040379601579
1930,11.547612721853307,8.738101264014198
1931,10.683082723561622,9.805252272120757
2067,10.275525923793143,10.023040382502128
2068,13.304344040101956,12.03064663592116
2069,11.771463958078503,10.465427058240264
2186,11.885078394616892,11.02100592490243
2187,12.053786235741304,12.042234904132673
2188,10.15642676935553,9.201695089574352
2323,12.042234932519255,11.799404158693012
2324,10.42420968423813,10.39211866408115
2325,10.405501951417389,10.148201851091953
2460,12.042234904132673,10.855845682140586
2461,14.024760652077184,12.407156292781721
2462,11.328807021407343,10.870224327984673
2189,11.059228218411286,9.711399329880173
2190,12.146547360282547,11.877162252359875
2191,10.250516466406303,9.711399324076622
2192,12.430577102660727,11.069086394144097
